comp_id,full_name,email,team_name,score,standing
1,James Brown,james.brown@gmail.com,Runtime Terrors,18,1
1,Steven Garcia,steven.garcia@gmail.com,Runtime Terrors,18,2
1,Emily Moore,emily.moore@gmail.com,Runtime Terrors,18,3
1,Isabella Wilson,isabella.wilson@gmail.com,Beyond Infinity,17,4
1,Richard Williams,richard.williams@gmail.com,Beyond Infinity,17,5
1,Jessica Jackson,jessica.jackson@gmail.com,Beyond Infinity,17,6
1,Mark Wilson,mark.wilson@gmail.com,Scrum Lords,16,7
1,Eric Anderson,eric.anderson@gmail.com,Scrum Lords,16,8
1,Ryan Smith,ryan.smith@gmail.com,Scrum Lords,16,9
1,Mary Smith,mary.smith@gmail.com,Little Bits,12,10
1,Ashley Davis,ashley.davis@gmail.com,Little Bits,12,11
1,Jennifer Garcia,jennifer.garcia@gmail.com,Little Bits,12,12
1,Andrew Taylor,andrew.taylor@gmail.com,Binary Beasts,10,13
1,Matthew Wilson,matthew.wilson@gmail.com,Binary Beasts,10,14
1,Sarah Smith,sarah.smith@gmail.com,Binary Beasts,10,15
1,Anthony Williams,anthony.williams@gmail.com,Hypertext Assassins,6,16
1,Michael Garcia,michael.garcia@gmail.com,Hypertext Assassins,6,17
1,John Rodriguez,john.rodriguez@gmail.com,Hypertext Assassins,6,18
1,David Moore,david.moore@gmail.com,Bugs Bunnies,6,19
1,Elizabeth Jones,elizabeth.jones@gmail.com,Bugs Bunnies,6,20
1,Jonathan Rodriguez,jonathan.rodriguez@gmail.com,Bugs Bunnies,6,21
1,William Brown,william.brown@gmail.com,Hex Clan,4,22
1,Charles Johnson,charles.johnson@gmail.com,Hex Clan,4,23
1,Brian Davis,brian.davis@gmail.com,Hex Clan,4,24
2,Mark Wilson,mark.wilson@gmail.com,Scrum Lords,21,1
2,Eric Anderson,eric.anderson@gmail.com,Scrum Lords,21,2
2,Brandon Miller,brandon.miller@gmail.com,Scrum Lords,21,3
2,James Brown,james.brown@gmail.com,Runtime Terrors,18,4
2,Steven Garcia,steven.garcia@gmail.com,Runtime Terrors,18,5
2,Emily Moore,emily.moore@gmail.com,Runtime Terrors,18,6
2,Isabella Wilson,isabella.wilson@gmail.com,Beyond Infinity,18,7
2,Richard Williams,richard.williams@gmail.com,Beyond Infinity,18,8
2,Jessica Jackson,jessica.jackson@gmail.com,Beyond Infinity,18,9
2,Ryan Smith,ryan.smith@gmail.com,Morse Coders,18,10
2,Kevin Martin,kevin.martin@gmail.com,Morse Coders,18,11
2,Samantha Jackson,samantha.jackson@gmail.com,Morse Coders,18,12
2,Andrew Taylor,andrew.taylor@gmail.com,Binary Beasts,12,13
2,Matthew Wilson,matthew.wilson@gmail.com,Binary Beasts,12,14
2,Sarah Smith,sarah.smith@gmail.com,Binary Beasts,12,15
2,Mary Smith,mary.smith@gmail.com,Little Bits,12,16
2,Ashley Davis,ashley.davis@gmail.com,Little Bits,12,17
2,Jennifer Garcia,jennifer.garcia@gmail.com,Little Bits,12,18
2,William Brown,william.brown@gmail.com,Hex Clan,9,19
2,Charles Johnson,charles.johnson@gmail.com,Hex Clan,9,20
2,Brian Davis,brian.davis@gmail.com,Hex Clan,9,21
2,Anthony Williams,anthony.williams@gmail.com,Hypertext Assassins,5,22
2,Michael Garcia,michael.garcia@gmail.com,Hypertext Assassins,5,23
2,John Rodriguez,john.rodriguez@gmail.com,Hypertext Assassins,5,24
2,David Moore,david.moore@gmail.com,Bugs Bunnies,5,25
2,Elizabeth Jones,elizabeth.jones@gmail.com,Bugs Bunnies,5,26
2,Jonathan Rodriguez,jonathan.rodriguez@gmail.com,Bugs Bunnies,5,27
3,James Brown,james.brown@gmail.com,Runtime Terrors,16,1
3,Steven Garcia,steven.garcia@gmail.com,Runtime Terrors,16,2
3,Kevin Martin,kevin.martin@gmail.com,Runtime Terrors,16,3
3,Emily Moore,emily.moore@gmail.com,Morse Coders,16,4
3,Eric Anderson,eric.anderson@gmail.com,Morse Coders,16,5
3,Samantha Jackson,samantha.jackson@gmail.com,Morse Coders,16,6
3,Mark Wilson,mark.wilson@gmail.com,Scrum Lords,16,7
